"","x"
"974","FBgn0032859"
"975","FBgn0051683"
"976","FBgn0051687"
"977","FBgn0042175"
"978","FBgn0032863"
"979","FBgn0032864"
"980","FBgn0042133"
"981","FBgn0261787"
"982","FBgn0032873"
"983","FBgn0051678"
"984","FBgn0086657"
"985","FBgn0014859"
"986","FBgn0032878"
"987","FBgn0032879"
"988","FBgn0032880"
"989","FBgn0032881"
"990","FBgn0011202"
"991","FBgn0000251"
"992","FBgn0250785"
"993","FBgn0032891"
"994","FBgn0032901"
"995","FBgn0032904"
"996","FBgn0032907"
"997","FBgn0010395"
"998","FBgn0032915"
"999","FBgn0032916"
"1000","FBgn0040297"
"1001","FBgn0032919"
"1002","FBgn0024371"
"1003","FBgn0032922"
"1004","FBgn0032923"
"1005","FBgn0032924"
"1006","FBgn0032925"
"1007","FBgn0000239"
"1008","FBgn0032929"
"1009","FBgn0011829"
"1010","FBgn0032935"
"1011","FBgn0032934"
"1012","FBgn0051626"
"1013","FBgn0021856"
"1014","FBgn0032938"
"1015","FBgn0032940"
"1016","FBgn0032943"
"1017","FBgn0032945"
"1018","FBgn0032946"
"1019","FBgn0053804"
"1020","FBgn0053807"
"1021","FBgn0053834"
"1022","FBgn0032949"
"1023","FBgn0016919"
"1024","FBgn0032955"
"1025","FBgn0032956"
"1026","FBgn0000559"
"1027","FBgn0032961"
"1028","FBgn0032964"
"1029","FBgn0032967"
"1030","FBgn0051702"
"1031","FBgn0032971"
"1032","FBgn0051703"
"1033","FBgn0032972"
"1034","FBgn0032981"
"1035","FBgn0032987"
"1036","FBgn0032988"
"1037","FBgn0064225"
"1038","FBgn0040011"
"1039","FBgn0041004"
"1040","FBgn0002566"
"1041","FBgn0058005"
"1042","FBgn0000384"
"1043","FBgn0086683"
"1044","FBgn0058042"
"1045","FBgn0262115"
"1046","FBgn0262116"
"1047","FBgn0262117"
"1048","FBgn0260798"
"1049","FBgn0040007"
"1050","FBgn0046692"
"1051","FBgn0260799"
"1052","FBgn0032997"
"1053","FBgn0040005"
"1054","FBgn0026401"
"1055","FBgn0261387"
"1056","FBgn0033000"
"1057","FBgn0013348"
"1058","FBgn0026238"
"1059","FBgn0033010"
"1060","FBgn0053554"
"1061","FBgn0261403"
"1062","FBgn0033017"
"1063","FBgn0050441"
"1064","FBgn0033020"
"1065","FBgn0033021"
"1066","FBgn0259247"
"1067","FBgn0050438"
"1068","FBgn0033027"
"1069","FBgn0039969"
"1070","FBgn0033029"
"1071","FBgn0033031"
"1072","FBgn0259979"
"1073","FBgn0000099"
"1074","FBgn0022288"
"1075","FBgn0033038"
"1076","FBgn0033039"
"1077","FBgn0025693"
"1078","FBgn0085414"
"1079","FBgn0025458"
"1080","FBgn0002774"
"1081","FBgn0004603"
"1082","FBgn0033050"
"1083","FBgn0033052"
"1084","FBgn0033054"
"1085","FBgn0033055"
"1086","FBgn0033059"
"1087","FBgn0033060"
"1088","FBgn0033062"
"1089","FBgn0033065"
"1090","FBgn0033069"
"1091","FBgn0050431"
"1092","FBgn0021847"
"1093","FBgn0033074"
"1094","FBgn0033075"
"1095","FBgn0026761"
"1096","FBgn0042085"
"1097","FBgn0033079"
"1098","FBgn0050443"
"1099","FBgn0033083"
"1100","FBgn0033086"
"1101","FBgn0033087"
"1102","FBgn0033088"
"1103","FBgn0033092"
"1104","FBgn0033089"
"1105","FBgn0259977"
"1106","FBgn0050446"
"1107","FBgn0033093"
"1108","FBgn0259483"
"1109","FBgn0014009"
"1110","FBgn0033095"
"1111","FBgn0033096"
"1112","FBgn0033097"
